turbine_id,wind_bin,count,mean,median,min,max
Kelmarsh 1,0.0,485,-0.00039466012797374837,-0.00039088635909848094,-0.001510455550217047,-4.346073400683517e-05
Kelmarsh 1,1.0,1217,-0.0006051660245439916,-0.00048743684117386987,-0.007101985652272294,0.005495965073748332
Kelmarsh 1,2.0,3291,0.0025989958938374123,-0.0005751390573455066,-0.007617686201886433,0.05567412213581364
Kelmarsh 1,3.0,4762,0.0292476444081815,0.028176117873773342,-0.004005013442620999,0.14611116734946647
Kelmarsh 1,4.0,6128,0.07582164533279723,0.07346574364638911,-0.0025038072539538873,0.26959818025914634
Kelmarsh 1,5.0,7409,0.14711524078527707,0.14480803699028202,-0.003795657274199695,0.35575990258193596
Kelmarsh 1,6.0,8235,0.2519194823645906,0.24825630001905488,-0.0014859926409837678,0.5307461771150914
Kelmarsh 1,7.0,7154,0.3918267675156312,0.3882976401724466,-0.002190472672625286,0.6701967416158536
Kelmarsh 1,8.0,5021,0.5613070130225977,0.5583298399390244,-0.0017498789764032131,0.8573641744474085
Kelmarsh 1,9.0,3376,0.7386997382966568,0.745214813976753,-0.003134377642375667,0.9851616091844512
Kelmarsh 1,10.0,2176,0.8796683499438306,0.8930040015243902,-0.0029321679836366234,1.00490234375
Kelmarsh 1,11.0,1313,0.9492452996925156,0.9724655821265243,-0.002980833518795851,1.0074784441692073
Kelmarsh 1,12.0,705,0.9674034829906186,0.9949068097370426,-0.002684676007526677,1.0102392578125
Kelmarsh 1,13.0,344,0.9687271037396894,0.9991679568407013,-0.001335571684488436,1.0095816263338415
Kelmarsh 1,14.0,153,0.9326675457908228,0.998043719035823,-0.00046479559526210875,1.0085624285442074
Kelmarsh 1,15.0,71,0.886275862448611,0.999781464367378,-0.0020262590268763105,1.012711747332317
Kelmarsh 1,16.0,21,0.8551695512534572,0.99585205078125,-0.0006956319692658215,1.008353896722561
Kelmarsh 1,17.0,22,0.8099832058560822,0.9938544445503049,-0.001190095413021925,1.0088549209222561
Kelmarsh 1,18.0,9,0.38114145261485405,0.01971167587652439,-0.001728800215372225,1.000589629382622
